sci_name,lat,lon,status
Dryobalanops fusca,1.7167,109.3,Critically Endangered
Dryobalanops fusca,1.6667,109.85,Critically Endangered
Dryobalanops fusca,1.6667,109.85,Critically Endangered
Dryobalanops fusca,1.7333,109.7667,Critically Endangered
Zingiber mawangense,1.2219,110.4964,Critically Endangered
Palaquium bintuluense,3.2128,113.07,Critically Endangered
Palaquium bintuluense,3.2128,113.07,Critically Endangered
Palaquium burckii,1.35,103.45,Critically Endangered
Palaquium burckii,1.4736,103.7917,Critically Endangered
Palaquium burckii,1.5,102.05,Critically Endangered
Palaquium burckii,1.4667,102.1333,Critically Endangered
Palaquium burckii,1.5261,103.4928,Critically Endangered
Palaquium burckii,1.5103,103.3903,Critically Endangered
Palaquium burckii,1.0072,102.2889,Critically Endangered
Palaquium burckii,1.0072,102.2889,Critically Endangered
Palaquium burckii,1.0072,102.2889,Critically Endangered
Palaquium burckii,1.5,101.5,Critically Endangered
Globba tembatensis,5.135,102.5939,Critically Endangered
Globba tembatensis,5.2086,102.6165,Critically Endangered
Madhuca markleeana,1.24,110.6956,Critically Endangered
Madhuca vulpina,1.25,110.1667,Critically Endangered
Madhuca vulpina,1.6044,110.3244,Critically Endangered
Madhuca vulpina,3.2333,113.1,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.25,110.1667,Critically Endangered
Madhuca vulpina,1.6044,110.3244,Critically Endangered
Madhuca vulpina,3.2333,113.1,Critically Endangered
Madhuca vulpina,1.95,109.5833,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Madhuca vulpina,1.4,110.3292,Critically Endangered
Alseodaphne micrantha,2.3111,103.8169,Critically Endangered
Alseodaphne micrantha,2.3001,103.8279,Critically Endangered
Alseodaphne micrantha,2.3029,103.8362,Critically Endangered
Alseodaphne micrantha,2.3166,103.8389,Critically Endangered
Alseodaphne micrantha,2.2946,103.8499,Critically Endangered
Endiandra scrobiculata,3.7167,101.75,Critically Endangered
Endiandra scrobiculata,3.7076,101.7368,Critically Endangered
Endiandra scrobiculata,3.7093,101.7405,Critically Endangered
Teijsmanniodendron punctatum,1.4027,110.3015,Critically Endangered
Teijsmanniodendron punctatum,1.4061,110.3061,Critically Endangered
Teijsmanniodendron punctatum,1.4108,110.3075,Critically Endangered
Teijsmanniodendron punctatum,1.4049,110.3105,Critically Endangered
Teijsmanniodendron punctatum,1.4122,110.3117,Critically Endangered
Teijsmanniodendron punctatum,1.4115,110.3178,Critically Endangered
Teijsmanniodendron punctatum,1.3999,110.324,Critically Endangered
Beilschmiedia atra,2.0935,102.5669,Critically Endangered
Beilschmiedia atra,2.0514,103.8867,Critically Endangered
Beilschmiedia atra,2.0389,103.8956,Critically Endangered
Beilschmiedia atra,1.7877,103.943,Critically Endangered
Cinnamomum pachypes,3.6595,101.6161,Critically Endangered
Cinnamomum trintaense,4.3708,101.1949,Critically Endangered
Shorea revoluta,4.75,115.0,Critically Endangered
Shorea revoluta,4.6833,115.1,Critically Endangered
Shorea revoluta,4.75,115.1833,Critically Endangered
Shorea revoluta,4.8459,115.5527,Critically Endangered
Hopea rudiformis,0.9833,117.9667,Critically Endangered
Musa azizii,2.7596,113.6329,Critically Endangered
Musa barioensis,3.7469,115.4808,Critically Endangered
Musa barioensis,3.7631,115.4842,Critically Endangered
Musa bauensis,1.1408,110.622,Critically Endangered
Musa bauensis,1.3772,110.1931,Critically Endangered
Senyumia minutiflora,3.6975,102.4356,Critically Endangered
Senyumia minutiflora,3.6931,102.4525,Critically Endangered
Senyumia granitica,2.3208,102.5395,Critically Endangered
Senyumia granitica,2.334,102.5393,Critically Endangered
Amphicnemis rigiketit,1.4096,110.4046,Critically Endangered
Trigonostemon wetriifolius,2.7398,103.2037,Critically Endangered
Amphicnemis madelenae,1.5736,110.2788,Critically Endangered
Amphicnemis madelenae,1.529,110.3613,Critically Endangered
Amphicnemis madelenae,0.9611,109.1758,Critically Endangered
Amphicnemis madelenae,1.5741,110.2918,Critically Endangered
Actinodaphne fuliginosa,3.273,114.2418,Critically Endangered
Monoon glabrum,2.1969,102.2476,Critically Endangered
Monoon glabrum,5.4159,100.3314,Critically Endangered
Pseuduvaria taipingensis,4.8582,100.7858,Critically Endangered
Polyalthia hirtifolia,4.2233,100.6311,Critically Endangered
Polyalthia hirtifolia,5.3082,100.2049,Critically Endangered
Barringtonia zainudiniana,5.7833,100.4333,Critically Endangered
Quercus pseudoverticillata,6.05,116.55,Critically Endangered
Quercus pseudoverticillata,5.9833,116.5667,Critically Endangered
Quercus pseudoverticillata,5.9542,116.6417,Critically Endangered
Quercus pseudoverticillata,5.9167,116.75,Critically Endangered
Alphonsea kingii,3.841,101.9211,Critically Endangered
Alphonsea kingii,4.5124,101.16,Critically Endangered
Melanochyla fasciculiflora,1.9622,103.3711,Critically Endangered
Cleistanthus parvifolius,4.8,100.75,Critically Endangered
Cleistanthus major,4.2626,103.4371,Critically Endangered
Cleistanthus oblongatus,4.4833,114.9167,Critically Endangered
Pandanus albifrons,3.2333,101.6167,Critically Endangered
Benstonea undulifolia,1.9819,103.8753,Critically Endangered
Benstonea undulifolia,1.9156,103.9075,Critically Endangered
Pandanus calvus,3.3405,101.7743,Critically Endangered
Pandanus calvus,3.35,101.7833,Critically Endangered
Parashorea globosa,1.75,100.9333,Critically Endangered
Shorea teysmanniana,1.5,102.05,Critically Endangered
Shorea teysmanniana,1.55,110.3333,Critically Endangered
Shorea teysmanniana,1.83,113.67,Critically Endangered
Shorea teysmanniana,2.2,100.2,Critically Endangered
Shorea teysmanniana,1.0,102.9167,Critically Endangered
Shorea teysmanniana,2.2,100.2,Critically Endangered
Shorea teysmanniana,3.5833,116.6333,Critically Endangered
Shorea teysmanniana,1.5,102.05,Critically Endangered
Shorea teysmanniana,1.5,102.05,Critically Endangered
Shorea teysmanniana,4.5667,114.4167,Critically Endangered
Shorea teysmanniana,2.5833,111.5833,Critically Endangered
Shorea teysmanniana,1.5333,111.05,Critically Endangered
Shorea teysmanniana,0.8333,112.9333,Critically Endangered
Shorea teysmanniana,4.3,114.3,Critically Endangered
Dipterocarpus coriaceus,1.2472,111.4528,Critically Endangered
Vatica venulosa,4.1833,101.2667,Critically Endangered
Vatica venulosa,4.8,100.75,Critically Endangered
Vatica venulosa,4.8,100.75,Critically Endangered
Vatica venulosa,2.0,117.3,Critically Endangered
Vatica venulosa,4.58,114.2,Critically Endangered
Vatica venulosa,5.9542,116.6417,Critically Endangered
Vatica venulosa,5.5,117.8333,Critically Endangered
Vatica venulosa,5.5667,115.95,Critically Endangered
Vatica venulosa,6.8667,116.8167,Critically Endangered
Vatica venulosa,4.5,114.4667,Critically Endangered
Vatica venulosa,2.0833,117.2833,Critically Endangered
Vatica venulosa,4.55,114.4833,Critically Endangered
Vatica venulosa,3.0667,116.4833,Critically Endangered
Vatica venulosa,4.9244,103.0847,Critically Endangered
Drypetes iliae,1.4,110.3,Critically Endangered
Drypetes iliae,1.4,110.3,Critically Endangered
Alstonia penangiana,5.4333,100.2667,Critically Endangered
Alstonia penangiana,5.45,100.2833,Critically Endangered
Kopsia deverrei,1.8333,103.9,Critically Endangered
Kopsia deverrei,1.7331,103.9008,Critically Endangered
Kopsia deverrei,1.9167,103.9167,Critically Endangered
Kopsia deverrei,1.95,103.95,Critically Endangered
Ficus tristaniifolia,4.8549,114.7602,Critically Endangered
Maclurodendron magnificum,3.4343,101.7854,Critically Endangered
Maclurodendron magnificum,3.45,101.8,Critically Endangered
Maclurodendron magnificum,3.45,101.8,Critically Endangered
Melicope suberosa,3.4167,101.75,Critically Endangered
Calamus brevissimus,1.6,110.18,Critically Endangered
Calamus banggiensis,7.28,117.2,Critically Endangered
